,title,price,link
0,"HONOR MagicBook X16 (2024), 12th Gen Intel Core i5-12450H, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop (16GB/512GB PCIe SSD/Windows 11/ Full-Size Numeric Keyboard /1.68Kg), Gray","38,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjMxNjY2MDIyODA1NTk2OjE3MzcyMjkyODA6c3BfYXRmOjMwMDI1OTU1ODM5NjEzMjo6MDo6&url=%2FMagicBook-i5-12450H-Anti-Glare-Full-Size-Keyboard%2Fdp%2FB0CRQB4HBP%2Fref%3Dsr_1_1_sspa%3Fcrid%3D6MYET830HUWF%26dib%3DeyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1737229280%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu","47,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjMxNjY2MDIyODA1NTk2OjE3MzcyMjkyODA6c3BfYXRmOjMwMDQ2MzI0OTExOTMzMjo6MDo6&url=%2FHP-Keyboard-15-6-inch-fy5009TU-fd0111tu%2Fdp%2FB0D4M66F6R%2Fref%3Dsr_1_2_sspa%3Fcrid%3D6MYET830HUWF%26dib%3DeyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1737229280%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15.6"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Intel UHD Graphics/Win 11/Office Home 2024/1Yr ADP Free/Grey/1.6Kg), 83EM00GTIN","60,990",https://amazon.in//Lenovo-IdeaPad-i7-13620H-Graphics-83EM00GTIN/dp/B0DL5N2TFC/ref=sr_1_7?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-7
3,"HP 15, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch(39.6cm) FHD Laptop, Intel Iris Xe Graphics, HD Camera, Backlit Keyboard, fy5009tu","47,990",https://amazon.in//HP-Keyboard-15-6-inch-fy5009TU-fd0111tu/dp/B0D4M66F6R/ref=sr_1_8?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-8
4,"HP Laptop 255 G9 AMD Ryzen 3 3250U Dual Core - (8GB/512GB SSD/AMD Radeon Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Black/1.47 kg","25,699",https://amazon.in//HP-Laptop-255-G9-Ryzen/dp/B0DJCWBY7G/ref=sr_1_9?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-9
5,"Acer Aspire Lite AMD Ryzen 5-5625U Premium Thin and Light Laptop (16 GB RAM/512 GB SSD/Windows 11 Home) AL15-41, 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 KG","32,990",https://amazon.in//Acer-5-5625U-Premium-Windows-AL15-41/dp/B0DG2GCTD7/ref=sr_1_10?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-10
6,"kotsren 15.6'' Laptop Computer, 16GB RAM 512GB ROM Celeron N5095 Quad-Core Processors, 1920 * 1080 IPS FHD, WiFi, Bluetooth, Mini HDMI, TF Card, USB 3.0","25,000",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjMxNjY2MDIyODA1NTk2OjE3MzcyMjkyODA6c3BfbXRmOjMwMDQ2MDU3MzIzOTIzMjo6MDo6&url=%2Fkotsren-Computer-Quad-Core-Processors-Bluetooth%2Fdp%2FB0D3X3L66X%2Fref%3Dsr_1_11_sspa%3Fcrid%3D6MYET830HUWF%26dib%3DeyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1737229280%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
7,"Lenovo Yoga Slim 7 Aura Edition Intel Evo Core Ultra 7 258V (32GB RAM/1TB SSD/15(38.86cm)/Copilot+ PC/Windows 11/Office Home 2024/Grey/1.53Kg), 83HM004NIN AI Laptop","1,47,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjMxNjY2MDIyODA1NTk2OjE3MzcyMjkyODA6c3BfbXRmOjMwMDQ1NjUwNzczNDMzMjo6MDo6&url=%2FLenovo-38-86cm-Copilot-Windows-83HM004NIN%2Fdp%2FB0DP6RBVSK%2Fref%3Dsr_1_12_sspa%3Fcrid%3D6MYET830HUWF%26dib%3DeyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1737229280%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8,"Lenovo V14 G3 Intel Core i5 12th Gen 1235U /16GB/512GB SSD/Intel UHD Graphics/Windows 11/ Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg","35,900",https://amazon.in//Lenovo-V14-G3-Graphics-Business/dp/B08HJWSGW6/ref=sr_1_13?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-13
9,"HP 15S AMD Ryzen 5000 (16GB Ram/512GB SSD/Fhd/Windows 11/Ms Office 21/Backlit Keyboard/ 15.6"" (39.6 Cm)/Silver/2.21 Kg) Eq2305Au/Eq2182Au Laptop","38,990",https://amazon.in//HP-Windows-Keyboard-eq2305AU-eq2182au/dp/B0B4N77Y34/ref=sr_1_14?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-14
10,"HP Laptop 240R G9 (2024), Intel Core i3 13th Gen 1315U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/14 (35.56cm)/Ash Grey/1.47 kg/MS Office 2021","33,399",https://amazon.in//HP-Laptop-240R-Intel-1315U/dp/B0DKG9ZCGH/ref=sr_1_15?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-15
11,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG","22,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_16?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-16
12,"HP 15s, 12th Gen Intel Core i3-1215U, 8GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.69kg), Anti-Glare, 15.6-inch (39.6cm) FHD Laptop, Intel UHD Graphics, HD Camera, Dual Speakers, fy5011TU","34,990",https://amazon.in//HP-i3-1215U-Anti-Glare-15-6-inch-Graphics/dp/B0D4LZMJ5Z/ref=sr_1_3?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-3
13,"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX","57,990",https://amazon.in//HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_17?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-17
14,"HP Pavilion, 12th Gen Intel Core i5-1235U, 16GB DDR4, 512GB SSD, (Win 11, Office 21, Silver, 1.41kg) IPS, BrightView, 14-inch(35.6cm) FHD Laptop, Intel Iris Xe Graphics, HD camera, Backlit KB,dv2014TU","56,240",https://amazon.in//HP-Pavilion-Micro-Edge-Graphics-14-dv2014TU/dp/B0B1M9HYBT/ref=sr_1_18?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-18
15,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG","46,990",https://amazon.in//Acer-i5-12450H-Windows11Home-AL15-52H-Keyboard/dp/B0DDL495SX/ref=sr_1_19?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-19
16,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN","34,990",https://amazon.in//Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_20?crid=6MYET830HUWF&dib=eyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI&dib_tag=se&keywords=laptop&qid=1737229280&sprefix=laptop%2Caps%2C483&sr=8-20
17,"HP Victus, AMD Ryzen 5 5600H, NVIDIA RTX 3050, 16GB DDR4, 512GB SSD (Win11, Office21, Blue, 2.37kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) Gaming Laptop, Backlit kb, Enhanced Cooling, fb0106AX/Fb0112AX","57,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4MjMxNjY2MDIyODA1NTk2OjE3MzcyMjkyODA6c3BfYnRmOjMwMDI0NzYxNTc2NDMzMjo6MDo6&url=%2FHP-GeForce-Graphics-Response-15-fb0106AX%2Fdp%2FB0BWS9YNCX%2Fref%3Dsr_1_21_sspa%3Fcrid%3D6MYET830HUWF%26dib%3DeyJ2IjoiMSJ9._wlIrbwlaBvAsqQpztYLgxryIvuVFe0MiicvCOzRBF6EY6ouXCbWUGrSXuo2tNT-aRPSZOy_K5HjBSO357w-MZ3rdRBRaLrG9f2AGp75M9UiOMMzJbjXQIzfzh2uyK4_WP9NrpeG4UrJI-Bbe2XHuqifn2edDUj088bhVR_ktGmHLIzaliiTYqv--3nrQ_LgEMdHCGKX49jx98kX0IWi4ANvp-FEi8m67kFPazW05YI.e6XJBA0hNmqj5l1qK-eQPBaw134c4xXoeNhQTsda5jI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1737229280%26sprefix%3Dlaptop%252Caps%252C483%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
